Class Name,Instructor,Price,Start Date,End Date,Start Time,End Time,Class Type,Description,Categories,Location,Room,Max Seats,Min Seats,Length in Weeks,Days of Week,Image URL,Featured,Kids Class,Register Online,Continuous Enrollment,Canceled,Receipt Custom Text,Reminder Custom Text,Visibility,Registrants,Waiting List
Adventurers: Fort Fiends 6/26-6/30,Adventurers Instructor Team,$200.00 ,06/26/2023,06/30/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 4: June 26-30</strong></p>
<p><strong>Ages: 8-12</strong></p>
<p>Camp is all about building &ndash; friendships, connections, and FORTS!&nbsp; Using materials found here at the park, campers will work together to create and perfect the finest forts the park has ever seen.</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/e7cfd7e27bfc11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,20,12
Adventurers: Pollinator People 6/19-6/23,Adventurers Instructor Team,$200.00 ,06/19/2023,06/23/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 3: June 19-23</strong></p>
<p><strong>Ages 8-12</strong></p>
<p>Discover the pollinators big and small that call Allerton Park their home.&nbsp; Campers will roam the gardens looking for our pollinating pals and pick up some tips for how to create pollinator habitats at home.</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/24b9c8f27bfc11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,19,0
Adventurers: Science Scouts 7/17-7/21,Acorns Instructor Team,$200.00 ,07/17/2023,07/21/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 6: July 17-21</strong></p>
<p><strong>Ages: 8-12</strong></p>
<p>Have you ever wanted to be Bill Nye the Science Guy?&nbsp; This is your chance!&nbsp; Allerton Park is home to all kinds of biology and chemistry.&nbsp; Let&rsquo;s investigate the world of science right here in our own backyards.</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/15ecab3e7bfe11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,20,4
Adventurers: Sound Songsters 7/10-7/14,Adventurers Instructor Team,$200.00 ,07/10/2023,07/14/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 5: July 10-14</strong></p>
<p><strong>Ages: 8-12</strong></p>
<p>Scout out sound and sound-makers in this noisy affair.&nbsp; Using the park as our venue, campers will make music and maybe do some dancing too!</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/4d9da14b7bfd11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,19,1
Adventurers: Water Workers 7/24-7/28,Adventurers Instructor Team,$200.00 ,07/24/2023,07/28/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 7: July 24-28</strong></p>
<p><strong>Ages: 8-12</strong></p>
<p>Allerton is home to lots of water: the Sangamon River, Reflecting Pond, Goldfish Pond, Koi pool, and many creeks.&nbsp; Wade through all the WET and wild fun we can whip up at summer camp!</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/f78d33467bfe11eda3040a362a971653,No,Yes,Yes,No,No,,,Public,18,10
Adventurers: Weather Wizards 6/5-6/9,Adventurers Instructor Team,$200.00 ,06/05/2023,06/09/2023,8:00 am,3:00 pm,Summer Day Camp,"<p><strong>Week 1: June 5-9</strong></p>
<p><strong>Ages 8-12</strong></p>
<p>Rain clouds, sunshine, snowstorms&hellip;. oh my!&nbsp; Exploring the world of weather will give campers insight into how weather shapes our lives.</p>",Allerton Summer Day Camp > Adventurers 8-11yrs,Greenhouse,,20,,1,"Mon, Tue, Wed, Thu, Fri",https://s3.amazonaws.com/coursestorm/live/media/b2306f837bf911eda3040a362a971653,Yes,Yes,Yes,No,No,,,Public,19,0
CANCELLED Fireside Fridays: Fireflies and Flashlight Tag,Tommy McElrath,$5.00 ,06/30/2023,,6:00 pm,9:00 pm,Fireside Fridays,"<p>One of the best things about summer is catching fireflies around the campfire!&nbsp; Come join us for Fireside Friday on June 30th for a talk about fireflies and other bugs with Tommy McElrath, the Insect Collection Manager with the Illinois Natural History Survey.&nbsp; Then do as the fireflies do for a game of Flashlight Tag.</p>
<p>Tickets are $5 per person, children 5 and under are free.&nbsp; A cash bar will be open from 6-9pm. S&rsquo;mores will be served.&nbsp; Please bring your own flashlight and lawn chairs!</p>","Allerton Programs > All Ages Programs
Allerton Programs > Fireside Fridays",Meadow,,40,10,,,https://s3.amazonaws.com/coursestorm/live/media/3b200914f4e911ed882f1249bb2c95b1,No,No,Yes,Yes,Yes,,,Public,0,0
Fireside Fridays: Campfire Jam Session,Belinda Beccue,$5.00 ,07/28/2023,,4:00 pm,7:00 pm,Fireside Fridays,"<p>One of the best things about summer is singing around the campfire!&nbsp; Come join us for Fireside Friday on July 28th to jam with local string band Bob and Friends.&nbsp; Kind of like campfire karaoke, you can sing (or jam on your own instrument!) along with the band.&nbsp; Kids can make their own &ldquo;percussion&rdquo; instruments and learn a little about music and instrumentation too!</p>
<p>Tickets are $5 per person, children 5 and under are free.&nbsp; A cash bar will be open from 4-7pm.&nbsp; S&rsquo;mores will be served.&nbsp; Please bring your own instruments and lawn chairs!</p>","Allerton Programs > All Ages Programs
Allerton Programs > Fireside Fridays",Meadow,,40,10,,,https://s3.amazonaws.com/coursestorm/live/media/cfcc01bdf4e911ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,9,0
Fireside Fridays: Whittle Bit of Fun,Nate Beccue,$5.00 ,08/18/2023,,6:00 pm,9:00 pm,Fireside Fridays,"<p>One of the best things about summer is whittling around the campfire!&nbsp; Come join us for Fireside Friday on Aug 18th for a lesson in knife safety and whittling from Natural Areas Manager, Nate Beccue.&nbsp; Bring your own knife to the event and whittle your own s&rsquo;more stick, plus another item out of the piece of soft basswood provided to you.</p>
<p>Tickets are $5 per person, children 5 and under are free.&nbsp; A cash bar will be open from 6-9pm.&nbsp; S&rsquo;mores will be served.&nbsp; Please bring your own knife and lawn chairs!</p>","Allerton Programs > All Ages Programs
Allerton Programs > Fireside Fridays",Meadow,,40,10,,,https://s3.amazonaws.com/coursestorm/live/media/8b904639f4ea11ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,13,0
Fu Dog Painting Workshop,Melanie Brine-Cox,$55.00 ,06/17/2023,,3:00 pm,6:00 pm,Regular Class,"<p>Join Artist Melanie, owner of <a href=""https://canvascorks.com/""><strong>Canvas &amp; Corks</strong></a> for a relaxing afternoon painting this majestic blue Fu Dog (pictured here) from 3 to 6 p.m. Saturday, June 17 at Allerton.</p>
<p>This class is designed for anyone to enjoy &mdash; no previous painting experience is necessary! Your canvas will be templated with the design and all painting materials will be provided.</p>
<p>Feel free to bring snacks and a cash beverage bar will be available. In case of inclement weather, the workshop will be held in the&nbsp;<strong><a href=""https://allerton.illinois.edu/the-trails-map/?location=musicbarn"">Allerton Music Barn.</a></strong></p>
<p>Cost is $55/person and all sales are final.</p>
<p><em>If you will need disability-related accommodations in order to participate, please email&nbsp;owarren@illinois.edu.</em></p>",Allerton Programs > Adult Programs,,,27,,,,https://s3.amazonaws.com/coursestorm/live/media/63ed26b7dd5211ed882f1249bb2c95b1,No,No,Yes,No,No,,,Public,27,2
Public Mansion Tour 6/18,Tour Guide,$10.00 ,06/18/2023,,2:00 pm,3:00 pm,Regular Class,"<p>Have you ever wandered around Allerton Park and wondered what the inside of the historic mansion looks like?&nbsp; Would you like to hear more about the unique history of Robert Allerton and the creation of his estate?&nbsp; Register for one of our Public Mansion Tours held each month!</p>
<p>&nbsp;</p>
<p>Mansion tours start at 2pm and begin in the Gallery of the Mansion.&nbsp; Tours typically last between 45 and 60 minutes.</p>
<p>&nbsp;</p>
<p>$10/person, ages 5 and under are free</p>
<p>Space is limited and tours typically sell out.</p>
<p>(NOTE: If tickets are sold out and you need additional children&rsquo;s tickets, email Sarah Putman at sputman2@illinois.edu.)</p>
<p>&nbsp;</p>
<p>If you will need disability-related accommodations in order to participate, please email Sarah Putman at sputman2@illinois.edu.</p>","Allerton Programs > All Ages Programs
Allerton Programs > Public Tours",Allerton Mansion,,25,,,,https://s3.amazonaws.com/coursestorm/live/media/cc4b7876eb5511ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,25,13
Public Mansion Tour 7/16,Tour Guide,$10.00 ,07/16/2023,,2:00 pm,3:00 pm,Regular Class,"<p>Have you ever wandered around Allerton Park and wondered what the inside of the historic mansion looks like?&nbsp; Would you like to hear more about the unique history of Robert Allerton and the creation of his estate?&nbsp; Register for one of our Public Mansion Tours held each month!</p>
<p>&nbsp;</p>
<p>Mansion tours start at 2pm and begin in the Gallery of the Mansion.&nbsp; Tours typically last between 45 and 60 minutes.</p>
<p>&nbsp;</p>
<p>$10/person, ages 5 and under are free</p>
<p>Space is limited and tours typically sell out.</p>
<p>(NOTE: If tickets are sold out and you need additional children&rsquo;s tickets, email Sarah Putman at sputman2@illinois.edu.)</p>
<p>&nbsp;</p>
<p>If you will need disability-related accommodations in order to participate, please email Sarah Putman at sputman2@illinois.edu.</p>","Allerton Programs > All Ages Programs
Allerton Programs > Public Tours",Allerton Mansion,,25,,,,https://s3.amazonaws.com/coursestorm/live/media/e150135ceb5511ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,25,6
Public Mansion Tour 8/21,Tour Guide,$10.00 ,08/21/2023,,4:00 pm,5:00 pm,Regular Class,"<p>Have you ever wandered around Allerton Park and wondered what the inside of the historic mansion looks like?&nbsp; Would you like to hear more about the unique history of Robert Allerton and the creation of his estate?&nbsp; Register for one of our Public Mansion Tours held each month!</p>
<p>&nbsp;</p>
<p>Mansion tour starts at 4pm and begin in the Gallery of the Mansion.&nbsp; Tours typically last between 45 and 60 minutes.</p>
<p>&nbsp;</p>
<p>$10/person, ages 5 and under are free</p>
<p>Space is limited and tours typically sell out.</p>
<p>(NOTE: If tickets are sold out and you need additional children&rsquo;s tickets, email Sarah Putman at sputman2@illinois.edu.)</p>
<p>&nbsp;</p>
<p>If you will need disability-related accommodations in order to participate, please email Sarah Putman at sputman2@illinois.edu.</p>","Allerton Programs > All Ages Programs
Allerton Programs > Public Tours",Allerton Mansion,,25,,,,https://s3.amazonaws.com/coursestorm/live/media/69ca42a8eb5611ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,1,0
Public Mansion Tour 8/21,Tour Guide,$10.00 ,08/21/2023,,3:00 pm,4:00 pm,Regular Class,"<p>Have you ever wandered around Allerton Park and wondered what the inside of the historic mansion looks like?&nbsp; Would you like to hear more about the unique history of Robert Allerton and the creation of his estate?&nbsp; Register for one of our Public Mansion Tours held each month!</p>
<p>&nbsp;</p>
<p>Mansion tour starts at 3pm and begin in the Gallery of the Mansion.&nbsp; Tours typically last between 45 and 60 minutes.</p>
<p>&nbsp;</p>
<p>$10/person, ages 5 and under are free</p>
<p>Space is limited and tours typically sell out.</p>
<p>(NOTE: If tickets are sold out and you need additional children&rsquo;s tickets, email Sarah Putman at sputman2@illinois.edu.)</p>
<p>&nbsp;</p>
<p>If you will need disability-related accommodations in order to participate, please email Sarah Putman at sputman2@illinois.edu.</p>","Allerton Programs > All Ages Programs
Allerton Programs > Public Tours",Allerton Mansion,,25,,,,https://s3.amazonaws.com/coursestorm/live/media/69ca42a8eb5611ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,1,0
Public Mansion Tour 8/22,Tour Guide,$10.00 ,08/22/2023,,3:00 pm,4:00 pm,Regular Class,"<p>Have you ever wandered around Allerton Park and wondered what the inside of the historic mansion looks like?&nbsp; Would you like to hear more about the unique history of Robert Allerton and the creation of his estate?&nbsp; Register for one of our Public Mansion Tours held each month!</p>
<p>&nbsp;</p>
<p>Mansion tour starts at 3pm and begin in the Gallery of the Mansion.&nbsp; Tours typically last between 45 and 60 minutes.</p>
<p>&nbsp;</p>
<p>$10/person, ages 5 and under are free</p>
<p>Space is limited and tours typically sell out.</p>
<p>(NOTE: If tickets are sold out and you need additional children&rsquo;s tickets, email Sarah Putman at sputman2@illinois.edu.)</p>
<p>&nbsp;</p>
<p>If you will need disability-related accommodations in order to participate, please email Sarah Putman at sputman2@illinois.edu.</p>","Allerton Programs > All Ages Programs
Allerton Programs > Public Tours",Allerton Mansion,,25,,,,https://s3.amazonaws.com/coursestorm/live/media/69ca42a8eb5611ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,4,0
Public Mansion Tour 8/22,Tour Guide,$10.00 ,08/22/2023,,5:00 pm,6:00 pm,Regular Class,"<p>Have you ever wandered around Allerton Park and wondered what the inside of the historic mansion looks like?&nbsp; Would you like to hear more about the unique history of Robert Allerton and the creation of his estate?&nbsp; Register for one of our Public Mansion Tours held each month!</p>
<p>&nbsp;</p>
<p>Mansion tour starts at 5pm and begin in the Gallery of the Mansion.&nbsp; Tours typically last between 45 and 60 minutes.</p>
<p>&nbsp;</p>
<p>$10/person, ages 5 and under are free</p>
<p>Space is limited and tours typically sell out.</p>
<p>(NOTE: If tickets are sold out and you need additional children&rsquo;s tickets, email Sarah Putman at sputman2@illinois.edu.)</p>
<p>&nbsp;</p>
<p>If you will need disability-related accommodations in order to participate, please email Sarah Putman at sputman2@illinois.edu.</p>","Allerton Programs > All Ages Programs
Allerton Programs > Public Tours",Allerton Mansion,,25,,,,https://s3.amazonaws.com/coursestorm/live/media/69ca42a8eb5611ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,2,0
Public Mansion Tour 8/6,Tour Guide,$10.00 ,08/06/2023,,2:00 pm,3:00 pm,Regular Class,"<p>Have you ever wandered around Allerton Park and wondered what the inside of the historic mansion looks like?&nbsp; Would you like to hear more about the unique history of Robert Allerton and the creation of his estate?&nbsp; Register for one of our Public Mansion Tours held each month!</p>
<p>&nbsp;</p>
<p>Mansion tours start at 2pm and begin in the Gallery of the Mansion.&nbsp; Tours typically last between 45 and 60 minutes.</p>
<p>&nbsp;</p>
<p>$10/person, ages 5 and under are free</p>
<p>Space is limited and tours typically sell out.</p>
<p>(NOTE: If tickets are sold out and you need additional children&rsquo;s tickets, email Sarah Putman at sputman2@illinois.edu.)</p>
<p>&nbsp;</p>
<p>If you will need disability-related accommodations in order to participate, please email Sarah Putman at sputman2@illinois.edu.</p>","Allerton Programs > All Ages Programs
Allerton Programs > Public Tours",Allerton Mansion,,25,,,,https://s3.amazonaws.com/coursestorm/live/media/69ca42a8eb5611ed882f1249bb2c95b1,No,No,Yes,Yes,No,,,Public,25,0
"Threshold, Hearth & Home: A 2-day Solstice Papermaking Workshop",E Ainsley,$120.00 ,06/20/2023,06/22/2023,6:00 pm,9:00 pm,Regular Class,"<p><span style=""text-decoration: underline;""><strong>June 20</strong></span><strong> -</strong>&nbsp;Paper making - pulling sheets, placing dried flowers and herbs on freshly pulled sheets</p>
<p>Beaten fibers endemic to the region will be provided, as well as herbs associated withmidsummer: yarrow, St. John&rsquo;s Wort, Mugwort. Participants are encouraged to bring their owndocuments, poetry, journals, notes, images to shred and beat into a pulp as well, infusing theircreation with deeper meaning.</p>
<p><strong><span style=""text-decoration: underline;"">June 22</span>&nbsp;-</strong>&nbsp;Pulp painting - stencils with solstice-themed designs will be available for participants to use.</p>
<p>Now that we&rsquo;ve learned the art of sheet pulling and some decorative elements, we&rsquo;ll add anotherlayer! Stencils will be placed on freshly pulled sheets and then painted through with a verywatery and pigmented pulp solution. Pulp paint can also be used to &lsquo;draw&rsquo; directly on wet paper,no stencil needed.</p>
<p>All paper must be taken back to Fresh Press studio to be pressed and put in the dry box forfinishing. Participants can choose whether to pick up their finished pieces from the studio inChampaign, or have the paper mailed to them via USPS. s&amp;h included in the cost of theworkshop. Paper takes approx. 1 week to dry.</p>",Allerton Programs > All Ages Programs,Auditorium,,10,,1,"Tue, Thu",https://s3.amazonaws.com/coursestorm/live/media/0ba6cfdaf41911ed882f1249bb2c95b1,Yes,No,Yes,No,No,,,Public,3,0
Trees and Saplings: Garden Painting,Pre-K Instructor Team,$40.00 ,07/15/2023,,9:00 am,11:00 am,Summer Day Camp,"<p>Allerton Park and Monticello Area Arts Council are partnering to offer littles and their grownups a series of workshops to explore how nature and art are blended at Allerton Park! This workshop will start with a group nature walk to learn about Allerton&rsquo;s garden landscapes, and finish with art exploration. Geared for ages 3-5, you and your child will create art inspired by the ecosystem you visit together &mdash; each of you will create your own art piece!&nbsp; Paints will be the art media focus of this workshop. So, prepare for a messy and fun time!&nbsp;&nbsp;Registration is for an adult-child pair.</p>",Allerton Programs > Youth All-Day Programs,Greenhouse,Auditorium,10,5,,Sat,https://s3.amazonaws.com/coursestorm/live/media/c8a5b87cb2e211eda22d12d1a1a4e6c7,No,Yes,Yes,No,Yes,,,Public,0,0
Trees and Saplings: Pond Printmaking,Pre-K Instructor Team,$40.00 ,08/19/2023,,9:00 am,11:00 am,Summer Day Camp,"<p>Allerton Park and Monticello Area Arts Council are partnering to offer littles and their grownups a series of workshops to explore how nature and art are blended at Allerton Park! This workshop will start with a group nature walk to learn about Allerton&rsquo;s pond landscapes, and finish with art exploration. Geared for ages 3-5, you and your child will create art inspired by the ecosystem you visit together &mdash; each of you will create your own art piece!&nbsp; Printmaking will be the art media focus of this workshop. So, prepare for a messy and fun time!&nbsp; Registration is for an adult-child pair.</p>",Allerton Programs > Youth All-Day Programs,Greenhouse,Auditorium,10,5,,Sat,https://s3.amazonaws.com/coursestorm/live/media/ec27b009b2e311eda22d12d1a1a4e6c7,No,Yes,Yes,No,No,,,Public,10,0
Trees and Saplings: Prairie Watercolor,Pre-K Instructor Team,$40.00 ,06/17/2023,,9:00 am,11:00 am,Summer Day Camp,"<p>Allerton Park and Monticello Area Arts Council are partnering to offer littles and their grownups a series of workshops to explore how nature and art are blended at Allerton Park! This workshop will start with a group nature walk to learn about Allerton&rsquo;s prairie landscapes, and finish with art exploration. Geared for ages 3-5, you and your child will create art inspired by the ecosystem you visit together &mdash; each of you will create your own art piece!&nbsp; Watercolor will be the art media focus of this workshop. So, prepare for a messy and fun time!&nbsp; Registration is for an adult-child pair.</p>",Allerton Programs > Youth All-Day Programs,Greenhouse,Auditorium,10,5,,Sat,https://s3.amazonaws.com/coursestorm/live/media/a90f2bfab2e311eda22d12d1a1a4e6c7,No,Yes,Yes,No,No,,,Public,5,0
